Iteration,Placebo,IfCounter,ModuloCounter,BooleanMulCounter,BooleanWrapCounter
1,29600,31100,31300,30600,30300
2,30400,30900,31200,30500,30200
3,29400,30900,31200,31400,30200
4,29400,30900,32800,30700,30200
5,31000,30800,31100,30500,30200
6,31200,30800,31200,30800,30200
7,29900,30700,31100,30600,31300
8,29900,31800,33000,31600,30500
9,30100,31100,33100,30700,30500
10,31000,31000,32600,30700,30400
11,29100,31100,31800,30500,30600
12,29300,30900,33000,31600,30500
13,30800,31000,38800,30600,30500
14,29900,31000,31100,30500,30500
15,30900,30900,31200,30700,30500
16,30000,31700,31100,31200,31200
17,30800,30800,31100,30500,30300
18,29300,30900,31200,30800,30200
19,29300,30800,31100,30900,30300
20,29300,30900,31100,31500,30300
21,29300,32100,32500,30500,30200
22,29300,31000,31200,31100,30300
23,29300,31100,31200,31000,30300
24,30100,34800,31200,30800,31200
25,29200,31600,31200,31200,30300
26,29200,32300,31100,30600,30300
27,29300,32700,31200,31200,30300
28,29300,33000,32000,31500,30200
29,29200,30900,32100,30500,30300
30,29200,31000,31200,30600,31700
31,29300,30900,31200,30500,32000
32,29200,31000,31100,30600,31100
33,29900,31600,31200,30500,44300
34,29200,31100,31100,30600,31100
35,29800,30800,31200,30500,33400
36,29300,31000,31200,30600,32200
37,29300,31100,31200,31300,32100
38,29300,31000,32000,30500,31900
39,29300,30800,31200,30500,30300
40,29300,31100,31200,31100,30300
41,29300,31900,30800,30600,30400
42,31000,30800,30800,30600,31200
43,29200,30800,31100,30600,30400
44,29200,30800,30900,30600,30400
45,29200,30800,30800,30500,30300
46,29200,30800,31700,31400,30400
47,29200,30900,31300,30500,30500
48,29200,30800,31200,30500,30400
49,29200,30900,31300,30500,30400
50,29200,31800,31200,30500,31100
51,30000,30800,31200,30500,30300
52,29200,30800,31200,30500,30200
53,29100,37700,31200,30600,30200
54,29100,34600,31200,31300,30100
55,29100,33800,32000,30400,30100
56,29200,33800,31200,30400,30100
57,29200,34000,31200,30500,30300
58,30600,65000,31200,30400,30300
59,29800,33800,31200,30400,31100
60,30900,33100,31700,30400,30300
61,30000,31600,31400,30400,30200
62,30000,32400,31100,30400,31000
63,30100,31000,32000,31300,30200
64,30100,30800,31100,30500,30600
65,30100,30900,31100,30600,30400
66,30100,30700,31100,30500,30400
67,30100,31800,31100,30500,31200
68,30100,30900,31100,30500,30200
69,35800,30800,31100,30500,30200
70,29400,30900,31100,30600,30200
71,29300,30800,32000,31300,30100
72,29500,30900,30900,30500,30200
73,29300,30800,31100,37600,30200
74,29300,30900,31100,33100,30200
75,29300,32300,31100,33400,30500
76,29300,30700,31100,33400,31000
77,30200,30800,31000,33400,30400
78,30900,30700,31100,34400,30300
79,30100,30700,31100,32500,30300
80,30100,30700,32000,63500,30300
81,30100,30700,31300,32000,30400
82,31400,30700,31200,32700,30200
83,29400,31500,31300,31400,30300
84,29500,31800,31100,31100,30300
85,29500,30800,31200,31200,31200
86,30600,30800,31100,32100,30300
87,29500,31100,31200,30400,30300
88,29200,30800,31900,31200,30500
89,29500,30800,31300,30300,30300
90,29500,30800,31200,30400,30400
91,29500,30800,31500,30500,30300
92,29400,31700,31700,30500,30300
93,29400,30900,31300,30500,31000
94,29400,30900,31300,30500,30300
95,30300,31000,31300,30500,31400
96,29500,31000,32200,30500,30300
97,29400,30900,31100,31300,30400
98,29400,30900,31000,30500,30400
99,29400,30800,31100,30500,30400
100,29500,31000,31100,30600,30400
101,29500,34900,31000,30500,30300
102,34700,31100,31000,30600,31200
103,29500,31100,31100,31100,30400
104,30400,31000,31100,30500,30300
105,29400,31100,31900,30500,30300
106,29300,31100,31100,31400,30300
107,29400,31100,31200,30300,30300
108,29300,31100,31100,30400,30300
109,29300,36100,31100,30500,30300
110,29300,31000,31200,30500,31100
111,29400,30900,31200,30400,30400
112,29400,31000,31200,30500,30300
113,30300,30900,32000,30500,30400
114,29400,31000,31300,31300,30600
115,29400,31800,31200,30600,30500
116,29400,31100,31200,30500,30600
117,29400,54200,31200,30500,30500
118,29400,30900,31300,30500,30600
119,29400,30800,31300,30600,31200
120,29500,30900,31300,30500,30400
121,29500,30800,31200,30500,30300
122,30400,30900,31900,30600,30300
123,29400,30800,31100,31400,30300
124,29400,30900,52000,30600,30300
125,29500,30900,34600,30600,30300
126,29500,31700,44200,30600,30300
127,29400,30900,56500,30600,30300
128,29400,30800,182800,30500,37800
129,29500,30800,82200,30600,31000
130,29400,30900,78500,30600,34600
131,30400,30800,66100,31400,33400
132,29400,30800,63600,30700,33400
133,29400,30900,76400,30500,33300
134,29400,31600,30500,30800,33300
135,29400,30800,27900,30700,32800
136,30100,30800,36800,31100,33500
137,29300,30800,27400,30600,32100
138,30900,30800,27400,30600,30300
139,30000,31000,27400,30600,30300
140,31700,30800,27200,31300,30300
141,29500,30800,27300,30500,30400
142,29300,30800,27200,30500,30300
143,29400,31700,29200,30600,30300
144,29300,30800,27900,30600,30300
145,29300,30800,32900,30600,31200
146,29500,31600,27900,30500,30400
147,29300,30900,27800,30700,30300
148,30300,31100,29600,31300,30400
149,29500,30900,31100,30600,30300
150,29500,31000,31100,30900,30300
151,29500,31700,31100,30900,30400
152,29400,31100,31100,30500,30400
153,29400,31100,31100,30600,31300
154,29400,31000,32100,30800,30300
155,29400,31100,31100,30400,30300
156,29400,31000,31200,30800,30300
157,30300,31000,31100,31300,30300
158,29300,31100,31100,30900,30300
159,29300,31000,31100,30500,70700
160,29300,31800,31100,30600,30500
161,29300,31000,31100,30500,30300
162,29400,31000,32600,30600,40900
163,29300,31100,31200,30500,30400
164,29300,31000,31200,30500,30300
165,29300,31000,31200,31300,30300
166,30100,31000,31500,30600,30200
167,29300,31000,31100,30600,30300
168,29300,31700,31200,31200,30300
169,30300,30600,31100,30600,30300
170,29400,30600,31300,30600,30300
171,29400,30700,32000,30600,32600
172,29400,30800,31100,30600,31100
173,29600,30500,31200,30600,31800
174,29500,30600,31200,31400,32000
175,30300,30500,31900,30500,31100
176,29300,30600,31200,30500,31900
177,29300,31600,31500,30600,32400
178,29300,34900,31600,30600,31900
179,29300,31000,32100,30700,31200
180,31400,30700,31200,30600,30300
181,31400,30800,31200,30600,30400
182,30900,30800,31200,31300,30300
183,32100,31100,31200,30400,30300
184,30900,30800,31200,30400,30400
185,30000,31600,31200,30500,30300
186,30200,30800,31200,30400,30300
187,30000,30800,32000,30500,30300
188,30000,30800,31100,30400,31100
189,30200,30800,31100,30500,30300
190,30200,30800,31100,30500,31300
191,31000,30800,31100,31300,30400
192,31100,30800,31100,30500,30400
193,31500,30800,31100,30500,30400
194,31700,31600,31100,30400,30400
195,30700,30700,31100,30400,30600
196,30800,30800,31900,30400,31400
197,30800,30800,31100,30500,30300
198,31800,30800,31100,30500,30300
199,30100,30800,31100,30500,30300
200,30000,30800,31100,31300,30300
201,30100,30800,31100,33800,30300
202,34100,31600,31100,31200,30300
203,31000,31000,31100,31200,30300
204,30200,30800,31900,31200,30300
205,31100,31000,31000,31200,31100
206,29600,30700,31100,31300,30400
207,29600,30800,32000,31200,30400
208,29400,30800,31000,36800,30300
209,29500,30900,31100,32300,30400
210,29400,31300,31100,30500,30300
211,30400,31500,31100,30500,30400
212,29500,30700,31100,30400,30400
213,29400,31000,31900,30500,30400
214,29400,31000,31000,30500,32600
215,29400,30600,31000,30600,30300
216,29400,30600,31100,30500,30300
217,29500,30900,31100,32500,32300
218,29500,30600,31100,30500,32000
219,30700,31800,31000,30500,32000
220,29400,31000,31200,32000,31000
221,29400,31000,31900,32400,32100
222,29500,30900,31300,32100,36700
223,29400,31000,31300,31200,30400
224,29200,31000,31300,32700,30200
225,29200,31000,31200,32000,30200
226,29200,31000,31200,30300,30400
227,29200,31800,31300,30300,30300
228,30100,30900,31100,30500,30200
229,29300,30900,32000,30300,30200
230,29300,30900,31200,30400,30300
231,29400,30900,31200,30300,31200
232,29200,30900,31200,31100,30300
233,29200,30900,31200,30500,30500
234,29300,30800,31200,32400,30500
235,29100,30900,31200,30400,30500
236,30500,31600,31200,30500,30400
237,30200,30900,31500,30400,30500
238,29200,30900,32600,30500,30300
239,29200,31200,31200,30400,31200
240,29300,30800,31200,30500,30200
241,29300,31200,31200,30400,30200
242,29100,31600,31200,31900,30400
243,29200,30400,31300,30500,30400
244,29300,31700,31300,30500,30300
245,29200,30800,31500,30400,30300
246,30700,30800,32200,30500,30400
247,29100,30800,31600,30500,30400
248,29100,30800,31600,30500,31200
249,29200,30900,31700,30400,30500
250,29100,30800,31600,30400,30500
251,29200,30800,31600,31500,30500
252,29200,30800,31700,30700,30300
253,29200,31600,31700,30600,30600
254,29200,30900,32100,30500,30200
255,30100,30800,31100,30500,30900
256,29200,30800,31100,30500,30400
257,29300,30900,31100,30500,31200
258,29300,30900,31100,30500,30400
259,29300,30900,31100,32000,30300
260,29400,30800,31100,30400,30300
261,29300,31600,31100,30500,30400
262,29300,30900,31000,30500,30300
263,29300,30800,32000,30500,30300
264,30000,30800,31200,30400,30400
265,29100,30900,31100,31800,31200
266,29400,30900,31100,32400,30400
267,29400,30800,31100,31100,30300
268,29200,30900,31100,32400,30300
269,48400,30800,31100,31200,30300
270,57000,31600,31600,31800,30300
271,45400,30800,31900,30500,30300
272,77600,30900,31100,30500,30300
273,87600,30800,31000,30500,30200
274,83100,30800,31100,30500,31000
275,32000,31400,31000,30500,30200
276,53500,30800,31000,30500,30300
277,31400,30900,30900,31900,30300
278,31800,31600,30900,30300,30300
279,32400,30800,30900,30500,30300
280,32800,30900,32500,30300,30400
281,30700,30900,31000,30400,30400
282,31300,30900,30900,30400,31200
283,31600,30800,30900,30300,30400
284,30000,30900,30900,30300,30300
285,31800,30800,31000,31200,30300
286,30000,30800,31200,30400,30400
287,30000,31600,31000,30600,30400
288,30100,30800,32000,30400,30800
289,30000,30800,31300,30600,30300
290,32500,30800,31300,30400,30300
291,31200,30800,31400,30500,31200
292,29300,30800,31300,30300,30300
293,29300,30800,31300,30600,30400
294,33200,30700,31200,32500,30400
295,31500,31600,31100,30500,30400
296,30200,30800,32000,31300,30400
297,30400,30800,31100,31600,30400
298,30400,30800,31100,30900,30400
299,31500,30800,31000,30700,30400
300,29800,30800,31000,30900,31200
301,29300,30800,31000,30600,30300
302,31500,30800,31500,31600,30400
303,32700,30800,31100,30500,30300
304,29400,31600,31400,30500,30400
305,29600,30800,31800,30500,30400
306,29400,30700,31000,30500,30400
307,29600,31200,31000,30500,30400
308,29300,30700,31000,30500,31100
309,29600,31100,31000,30400,30300
310,29300,30800,31000,30500,30300
311,29600,30800,31000,31200,30300
312,30400,31600,31100,30600,30400
313,29400,30800,31900,30500,30300
314,29400,30800,31100,30500,30400
315,29400,30800,31100,30400,30300
316,29400,30800,31500,30400,30300
317,29500,30800,31100,30500,31100
318,29500,30800,31200,30500,30600
319,29500,30800,31200,31800,30500
320,30700,30800,31100,30300,30900
321,29400,31600,32700,30300,30300
322,29200,30900,30900,30200,30400
323,29200,30900,31000,30300,30400
324,29300,30900,30900,30300,30400
325,29300,30800,32900,30300,31200
326,29300,30800,32900,30200,30300
327,31000,30900,33000,30200,30300
328,29300,30900,31600,31200,30300
329,30200,31700,32400,31000,30200
330,29300,30700,32200,30500,30300
331,29300,31000,31000,30500,30300
332,29200,30900,31000,30300,30300
333,29300,31100,31000,30600,30400
334,29200,30900,31800,30300,31300
335,29200,30900,31000,30500,30900
336,29300,30900,31100,30400,30900
337,29200,31700,31100,32000,30400
338,30100,31100,32100,30500,30300
339,29300,31900,31600,30500,30800
340,29300,31000,31600,30500,30900
341,29300,31100,31600,30500,30900
342,29300,32500,31700,30500,30400
343,29300,33100,31600,30500,31100
344,29400,31000,31700,30500,30300
345,29400,32700,31600,31400,30300
346,29400,33700,31600,30500,30300
347,30100,30900,32100,30600,30300
348,29100,30800,31200,30600,30400
349,29100,30900,31000,30500,30300
350,29200,30800,31100,30500,30300
351,29200,30900,31000,30400,31100
352,29200,30900,31100,30500,30300
353,29200,30800,31100,30500,31400
354,29200,31600,31400,31300,30300
355,29300,30800,32600,30600,32400
356,31800,31100,31100,30500,31100
357,30500,31100,31100,30600,31000
358,28800,31000,31100,30500,30900
359,29400,31100,31100,30500,33300
360,28700,31100,31100,30500,33200
361,29900,31100,31100,30500,30100
362,29200,31100,31000,31900,30400
363,29200,31300,32600,30500,30100
364,29200,30700,31300,30600,30300
365,33700,30800,32900,30500,30300
366,29400,30800,31100,30600,30000
367,29500,30800,31300,30500,30300
368,29400,30600,31200,30600,31200
369,29500,30800,31300,30500,30500
370,29500,30800,31300,30500,30500
371,29500,32600,31100,31400,30400
372,29500,30900,33000,30500,30400
373,29300,30900,31200,30500,30400
374,32000,30800,31600,30500,30300
375,29700,30700,31100,30500,30500
376,29800,30900,31400,30500,30300
377,30900,30700,31200,30500,31100
378,29000,30800,31600,30400,30300
379,29000,30700,31100,31900,30400
380,29000,31800,32300,30500,30300
381,29000,31000,30900,30500,30300
382,29000,31000,31200,30500,30300
383,30600,31000,30800,30400,30400
384,29200,31000,30900,30400,30400
385,29200,31000,31200,30400,31100
386,29200,31000,31200,30500,31200
387,31100,31000,31000,30500,30300
388,29800,33000,32400,32000,30300
389,30000,30900,31200,30600,30300
390,29800,31000,31200,30500,30300
391,30600,32600,31200,30500,30300
392,30900,32800,31200,30500,30400
393,29400,32500,31200,30500,30200
394,33200,31700,31200,31100,31100
395,30100,32500,31200,30500,30300
396,30100,31000,31200,31200,30400
397,30200,31800,33200,30400,30400
398,31200,31100,31000,30500,30400
399,29400,31000,31100,30700,30400
400,29500,31100,31000,30400,30400
401,30700,31100,31100,30400,30400
402,29500,31100,31000,30500,30300
403,29600,31600,31200,30500,31100
404,29600,31100,31000,30400,30300
405,29600,32300,32600,31300,30300
406,29600,31100,31100,30300,30300
407,29500,30800,31100,30600,30400
408,29500,31000,31100,30300,30300
409,29300,30800,31000,30600,30300
410,30600,31000,31000,30400,30200
411,29600,30900,31100,31200,31000
412,29400,31100,31100,30300,30300
413,29700,31600,31100,30700,30300
414,29500,31000,32000,31400,30300
415,29400,31000,31200,30700,30400
416,29500,31000,31200,30600,30300
417,29600,31000,31100,30800,30300
418,30300,31000,31100,30600,31200
419,29200,31000,31100,30700,30100
420,29300,31100,31100,30500,31300
421,29200,31000,31200,30700,30300
422,29300,35400,32400,31300,30300
423,29200,31000,31000,30400,30300
424,29300,31000,31000,30500,30400
425,29100,31000,31000,30600,30200
426,29300,31000,31100,30300,30300
427,30000,31100,31100,30900,30400
428,30800,31000,31000,30500,30300
429,29200,31100,32200,30400,31200
430,29200,31700,32800,30300,30200
431,29300,30800,31100,31200,30300
432,29200,30900,32700,30400,30200
433,29200,30800,31900,30300,30300
434,29200,31700,32500,30300,30300
435,29200,30900,32500,30600,30200
436,30100,30900,31700,30400,30200
437,29300,30900,32700,30300,31000
438,29300,30800,31100,30300,30400
439,29400,31700,32600,31100,30500
440,29500,30800,31100,30500,30400
441,29500,30800,31100,30500,30200
442,29300,30800,31100,30500,30400
443,29400,30800,31100,30500,30400
444,29300,30800,31000,30500,30400
445,30200,30800,31000,30500,30200
446,29400,30800,31100,30500,31100
447,29300,31500,33300,30500,30300
448,29200,30900,32700,31400,30400
449,29200,30500,32700,30300,30700
450,29300,30900,32800,30500,30200
451,29200,30800,32700,30400,31100
452,29200,30900,32800,30200,30300
453,29300,30900,32700,30200,30300
454,30300,31000,32700,30200,30300
455,29300,30800,32900,30200,31400
456,29300,31400,31100,31000,30700
457,29300,30700,31000,30700,30300
458,29300,30700,31000,30800,30700
459,29400,30700,31000,30500,30300
460,29300,30700,32600,31300,30300
461,29300,30700,31200,30700,30400
462,30300,30700,31200,30700,30500
463,30100,30800,32000,30500,31200
464,29100,31500,31000,30700,30400
465,29200,30800,30800,31200,30300
466,29100,30800,31100,30500,30400
467,29000,31600,30900,30500,30400
468,29100,30600,30900,30500,30300
469,29200,31000,31000,30500,30400
470,29100,31000,31100,30500,30300
471,29100,30900,31100,30600,30300
472,30100,31000,32000,30500,31200
473,29300,31700,31100,31200,30500
474,29400,30800,31000,30500,30300
475,29300,30900,31000,30500,30400
476,29300,31000,31100,30500,30500
477,29400,30900,31100,30500,30400
478,31200,31000,31200,30300,30400
479,30000,30800,31100,30500,30300
480,29900,31000,32600,30600,31200
481,30700,31700,31500,30300,30200
482,29700,30900,31100,31300,30200
483,30300,30800,31200,30500,30800
484,30000,30800,31400,30500,30400
485,31000,30800,31100,30500,30300
486,29300,30800,31200,30400,30400
487,29300,30800,31100,30400,30400
488,29300,30800,31100,30400,30400
489,29300,30800,32500,30500,31200
490,30000,31500,31100,30400,30300
491,30900,30800,30900,31300,30300
492,30000,30800,31700,31000,30400
493,30700,30800,31000,30500,30300
494,29300,30800,31100,30400,30300
495,30400,30800,31100,30500,30300
496,29300,30800,31100,30500,30400
497,29400,30800,32000,30500,31200
498,29300,31600,31100,30500,30500
499,30100,34300,31200,31200,30400
500,29300,30800,31100,30500,30400
501,29300,31000,31100,30500,30400
502,29300,31000,31100,30500,30400
503,29400,31000,31100,30500,30400
504,29400,31100,31100,30500,30300
505,29400,31100,32000,30400,30500
506,29400,32000,31500,30500,31300
507,29300,30700,31200,30500,30700
508,30000,30800,31300,31300,30600
509,29300,30700,31500,30600,30500
510,30800,30800,31100,30500,30400
511,29900,30800,31100,30400,30400
512,29900,30800,31100,30400,30700
513,29800,30800,31100,30400,30400
514,30900,30800,32600,30500,30400
515,29200,31700,31200,30400,31200
516,30000,31000,31300,31300,31900
517,29100,30900,31100,30500,30400
518,29200,30900,31100,30500,30400
519,29100,30900,31100,30500,30400
520,29100,30900,31100,30600,30400
521,29100,31000,31100,30500,30400
522,29200,30900,34700,30600,30200
