Iteration,IfCounter,ModuloCounter,BooleanMulCounter,BooleanWrapCounter
1,6400,17900,4400,4400
2,6300,17700,4400,4400
3,6400,17700,4400,4400
4,6300,17700,4300,4400
5,6300,17700,4300,5300
6,6200,17700,4400,4400
7,6300,17700,4400,4400
8,6300,17700,4400,4400
9,6300,17600,4400,4400
10,6300,17700,4400,4400
11,6300,17700,4400,4400
12,6300,17700,4400,4400
13,6300,18500,4400,4400
14,6300,17700,4400,4400
15,6500,17700,4300,4400
16,6300,17700,4300,4400
17,7800,17700,4300,4400
18,6300,17600,4400,4400
19,6300,17700,4400,4400
20,6300,17700,4400,4400
21,6300,17700,4400,4400
22,6400,17700,4400,4400
23,6300,17700,4400,4400
24,6300,17700,4400,4400
25,6200,17700,4400,4400
26,6300,17700,4400,4400
27,6400,18500,4400,4400
28,6300,17700,4400,4400
29,6300,17800,4300,4400
30,6600,17700,4300,4400
31,6300,17800,4300,4400
32,6300,17700,4300,4400
33,6300,19400,4300,4400
34,6300,18100,4400,4300
35,6300,18600,4400,4300
36,6300,18200,4400,4300
37,6300,18200,4400,4400
38,6300,18100,4400,4400
39,6300,19200,4400,4400
40,6300,17700,4400,4300
41,6300,17800,4400,4300
42,6300,18500,4400,4300
43,6300,17800,4400,4300
44,6300,17700,4400,4300
45,6400,17700,4400,4300
46,6300,17700,4400,4300
47,6300,17700,4400,4300
48,6300,17700,5300,4300
49,6300,17700,4400,4400
50,6500,17700,4400,4300
51,6300,17600,4400,4300
52,6300,17700,4400,4300
53,6300,17700,4400,4300
54,8700,17700,4400,4400
55,6300,17700,4400,4400
56,6300,17700,4400,4400
57,6300,18500,4400,4400
58,6300,17700,4400,4400
59,6300,17700,4400,4300
60,6400,17700,4400,4400
61,6300,17700,4400,4400
62,7000,17700,4400,4400
63,6300,17700,4400,4400
64,6200,17700,4400,5100
65,6300,17700,4300,4300
66,6400,17700,4300,4300
67,6300,17600,4300,4300
68,6300,17700,4300,4400
69,6300,17700,4400,4400
70,6300,17700,4400,4400
71,6600,17700,4400,4400
72,6300,18500,4400,4400
73,6300,17700,4400,4400
74,6400,17700,4400,4400
75,6300,17700,4400,4400
76,10600,17600,4400,4400
77,6300,17700,4400,4400
78,6300,17700,4400,4400
79,6300,17700,4400,4400
80,6300,17700,4400,4400
81,6300,17600,4400,4400
82,6300,17700,4400,4400
83,6300,17700,4400,4400
84,6500,17700,4300,4400
85,6300,17800,4400,4400
86,6300,18400,4400,4400
87,6500,17700,4400,4400
88,6300,17700,4400,4400
89,6300,17700,4400,4400
90,6300,18200,4400,4400
91,6300,17700,4400,4400
92,6300,19300,4400,4400
93,6300,18000,4400,4400
94,6300,18100,4500,4400
95,6300,18100,4800,4400
96,6300,18100,4400,4400
97,6300,18100,4400,4400
98,6500,18100,4400,4400
99,6300,18100,4400,4400
100,6300,18000,4400,4400
101,6300,20100,4400,4400
102,6300,19500,4400,4400
103,6300,18000,4400,4400
104,6400,19300,4400,4400
105,6300,17700,4400,4300
106,6300,17700,4400,4300
107,6300,17800,5600,4300
108,6300,17700,4400,4400
109,6300,17700,4400,4400
110,6400,17700,4400,4400
111,6300,17700,4400,4300
112,6300,17600,4400,4300
113,6300,17600,4300,4300
114,6300,17600,4300,4300
115,6300,17700,4300,4300
116,6300,18500,4300,4300
117,6300,17600,4400,4300
118,6300,17700,4400,4300
119,6300,17700,4400,4400
120,6300,17700,4400,4300
121,6300,17700,4400,4300
122,6300,17700,4400,4300
123,6300,17700,4400,5200
124,6300,17700,4400,4400
125,6300,17700,4400,4400
126,6300,17700,4400,4400
127,6300,17800,4300,4400
128,6300,17700,4300,4400
