Iteration,Placebo,IfCounter,ModuloCounter,BooleanMulCounter,BooleanWrapCounter
1,5200,2300,300,100,100
2,100,0,0,0,0
3,0,100,0,100,0
4,0,0,0,0,0
5,0,100,0,100,0
6,0,0,0,0,100
7,0,100,0,100,0
8,0,0,0,0,100
9,0,100,0,0,0
10,0,0,0,0,100
11,0,100,0,0,0
12,0,0,0,0,100
13,0,100,0,0,0
14,0,0,0,0,100
15,0,100,0,0,0
16,0,0,0,0,0
17,0,100,0,0,0
18,0,0,0,0,0
19,0,100,0,0,0
20,0,0,0,0,0
21,0,100,0,100,0
22,0,0,0,0,0
23,100,100,0,100,0
24,0,0,0,0,0
25,100,100,0,100,0
26,0,0,0,0,0
27,100,0,0,100,0
28,0,0,0,0,0
29,100,0,0,0,0
30,0,0,0,0,0
31,100,0,0,0,0
32,0,0,0,0,0
33,100,0,0,0,0
34,0,0,0,0,0
35,100,0,0,0,0
36,0,0,0,0,0
37,100,0,0,0,0
38,0,0,0,0,0
39,100,0,0,0,0
40,0,0,0,100,0
41,100,0,0,0,0
42,0,0,0,100,0
43,100,0,0,0,0
44,0,0,0,100,0
45,100,0,0,0,0
46,0,100,0,0,0
47,100,0,100,0,0
48,0,100,0,0,0
49,100,0,100,0,0
50,0,100,0,0,0
51,100,0,100,0,0
52,0,100,0,0,0
53,100,0,100,0,0
54,0,100,0,0,0
55,100,0,100,0,0
56,0,100,0,0,0
57,100,0,100,100,0
58,0,100,0,0,0
59,100,0,100,100,0
60,0,0,0,0,0
61,100,0,100,100,0
62,0,0,0,0,0
63,100,0,100,0,0
64,0,0,0,0,0
65,100,0,100,0,0
66,0,0,0,0,0
67,100,0,100,0,0
68,0,0,0,0,0
69,100,0,100,0,0
70,0,0,0,0,0
71,100,0,100,0,0
72,0,0,0,0,0
73,0,0,100,0,0
74,0,0,0,100,0
75,0,0,100,0,0
76,0,0,0,100,0
77,0,0,100,0,0
78,0,0,0,100,0
79,0,100,100,0,0
80,0,0,0,0,0
81,0,100,100,0,0
82,0,0,0,0,0
83,0,100,100,0,0
84,0,0,0,0,0
85,0,100,100,0,0
86,0,0,0,0,0
87,0,100,100,0,0
88,0,0,0,0,0
89,0,100,100,0,0
90,0,0,0,0,0
91,0,100,100,100,0
92,0,0,0,0,0
93,0,0,100,100,100
94,0,0,0,0,0
95,0,0,100,100,100
96,0,0,0,0,0
97,0,0,100,0,100
98,0,0,0,0,0
99,0,0,100,0,100
100,0,0,0,0,0
101,0,0,100,0,100
102,0,0,0,0,0
103,0,0,100,0,100
104,0,0,0,0,0
105,0,0,100,0,100
106,0,0,0,0,0
107,0,0,100,0,100
108,0,0,0,100,0
109,0,0,100,0,100
110,0,100,0,100,0
111,0,0,100,0,100
112,0,100,0,100,0
113,0,0,100,0,100
114,0,100,0,0,0
115,0,0,100,0,100
116,0,100,0,0,0
117,0,0,0,0,100
118,0,100,0,0,0
119,0,0,0,0,100
120,0,100,0,0,0
121,0,0,0,0,100
122,0,100,0,0,0
123,0,0,0,0,100
124,0,100,0,0,0
125,0,0,0,100,100
126,0,0,0,0,0
127,0,0,0,100,100
128,0,0,0,0,0
129,0,0,0,100,100
130,0,0,0,0,0
131,0,0,0,0,100
132,0,0,0,0,0
133,0,0,0,0,100
134,0,0,0,0,0
135,0,0,0,0,100
136,0,0,0,0,0
137,0,0,0,0,100
138,0,0,0,0,0
139,0,0,0,0,100
140,0,0,0,0,0
141,0,0,0,0,100
142,100,0,0,100,0
143,0,100,0,0,100
144,100,0,0,100,0
145,0,100,0,0,100
146,100,0,0,100,0
147,0,100,0,0,100
148,100,0,0,0,0
149,0,100,0,0,100
150,100,0,0,0,0
151,0,100,0,0,0
152,100,0,0,0,0
153,0,100,0,0,0
154,100,0,0,0,0
155,0,100,0,0,0
156,100,0,0,0,0
157,0,100,0,0,0
158,100,0,0,0,0
159,0,0,0,100,0
160,100,0,0,0,0
161,0,0,0,100,0
162,100,0,0,0,0
163,0,0,0,100,0
164,100,0,0,0,0
165,0,0,0,0,0
166,100,0,0,0,0
167,0,0,0,0,0
168,100,0,0,0,0
169,0,0,0,0,0
170,100,0,0,0,0
171,0,0,0,0,0
172,100,0,0,0,0
173,0,0,0,0,0
174,100,0,0,100,0
175,0,0,0,0,0
176,100,100,0,100,0
177,0,0,0,0,0
