Iteration,Placebo,IfCounter,ModuloCounter,BooleanMulCounter,BooleanWrapCounter
1,5800,4500,17700,4300,4500
2,4400,4400,18800,4400,5700
3,4400,4400,17700,4400,4500
4,4400,4400,17700,4400,8400
5,5900,4400,17600,4400,5800
6,4500,4400,20100,4400,4500
7,4500,4400,17700,4300,4500
8,4500,4300,17600,4300,4500
9,4500,4400,17600,4300,4500
10,4500,4400,17600,4300,4500
11,4400,4400,17700,4400,5700
12,4500,4400,17700,4400,4400
13,5700,4400,17700,4400,4400
14,4400,4400,17700,4400,4400
15,4400,4400,17600,4400,4400
16,4400,4400,17600,4400,4300
17,4400,4400,19000,4400,30200
18,4400,4400,17600,4400,4500
19,4300,4300,17600,4400,4500
20,4300,4300,17700,4400,4500
21,5800,4300,17600,4300,4500
22,4500,4400,17600,5300,4500
23,4500,4400,17600,4400,5800
24,4500,4400,17700,4400,4400
25,4500,4400,17700,4400,4400
26,4500,4400,17600,4400,5800
27,4500,5300,17600,4400,4500
28,5700,4400,17600,4400,4500
29,4400,4400,17700,4400,4500
30,4400,4300,17700,4400,4500
31,4400,4300,17700,4400,4500
32,5900,4400,18900,4400,4500
33,4500,4300,17600,4400,4400
34,4500,4300,17700,4300,5700
35,4500,4400,17600,4300,4400
36,4500,4400,17700,4300,4400
37,4500,4400,17700,4300,4400
38,4500,4400,17600,4300,4400
39,5500,4400,18200,4400,4300
40,4300,4400,17600,4400,4300
41,4400,4400,17600,4400,5800
42,4400,4400,17600,4400,4500
43,5800,4400,17700,4400,4500
44,4500,4400,17700,4400,4500
45,4500,4300,17700,4400,4500
46,4500,4300,17700,4400,4500
47,4500,4300,19100,4400,5800
48,5400,4300,17600,4400,4400
49,5700,4300,17600,4400,4400
50,4400,4400,17700,4300,4400
51,4400,4400,17700,4300,4300
52,5800,4400,17700,4400,4400
53,4500,4400,17700,4300,4400
54,4500,4400,17700,4400,4400
55,4500,4400,17700,4400,4400
56,4500,4400,17600,4400,4400
57,4500,4400,17700,4400,5800
58,4400,4400,17600,4400,4500
59,5700,4400,17600,4400,4500
60,4400,4300,17700,4400,4500
61,4400,4300,18500,4400,4500
62,8600,4300,17700,4400,4500
63,4300,4300,17600,4400,5700
64,5800,4300,17700,4400,5700
65,4400,4400,17700,4400,4400
66,4400,4400,17700,4400,4400
67,4400,4400,17700,4400,4400
68,4400,4400,17600,4400,4400
69,4500,4400,17600,4300,4400
70,5800,4400,17600,4400,4400
71,4400,4400,17700,4400,4400
72,4400,4400,17700,4400,4400
73,4400,4400,17700,4400,4400
74,5900,4400,17600,4400,5800
75,4500,4300,17600,4400,4500
76,4500,4300,18500,4400,4500
77,4500,4300,17700,4400,4500
78,4500,4300,17600,4400,4500
79,4500,4400,17600,4400,4400
80,5800,4400,17700,4400,4400
81,4400,4400,17700,4400,4400
82,4400,4400,17700,5300,4400
83,5800,4400,17700,4400,5700
84,4500,4400,17600,4400,4400
85,4400,4400,17600,4400,4400
86,4400,5500,17600,4400,5400
87,4500,4400,17700,4400,4300
88,4500,4400,17700,4400,4300
89,4500,4400,17700,4400,4300
90,4500,4400,17700,4400,4300
91,4500,4400,21000,4400,5900
92,4500,4400,17600,4400,4500
93,5700,4400,17700,4300,4500
94,4300,4300,17700,4400,4500
95,5800,4400,21600,4400,4500
96,4500,4400,17700,4300,4500
97,4500,4400,19600,4400,4500
98,4500,4400,18500,4400,4500
99,4500,4400,18500,4400,5800
100,4500,4400,18500,4400,4400
101,5800,4400,18500,4400,4400
102,4300,4400,20000,4400,4400
103,4300,4400,19000,4400,4400
104,5800,4400,19000,4400,4400
105,4500,4400,19800,4400,4400
106,4500,4400,20500,4400,4300
107,5400,4400,18200,4400,4400
108,4500,4400,18100,4400,4400
109,4500,4300,18100,4400,4400
110,4500,4300,18100,4400,4400
111,4500,4300,18000,4300,4400
112,5800,4300,19000,4300,4400
113,4300,4400,17600,4400,4400
114,4300,4400,17600,4400,4400
115,4400,4400,17700,4400,5100
116,4400,4400,17700,4400,4400
117,5900,4400,17700,4400,4400
118,4500,4400,17700,4400,4400
119,4500,4400,17700,4400,4400
120,4500,4400,18600,4400,4300
121,4500,4400,17600,4400,4400
122,4500,4400,17600,4400,5200
123,5700,4400,17600,4400,5000
124,4400,4300,19200,4400,4400
125,4400,4300,18000,4400,4400
126,5900,4300,18200,4300,4400
127,4500,4300,18100,4300,4400
128,4500,4400,18100,4300,4400
129,4400,4400,18000,4300,4400
130,4400,4400,18000,4300,4400
131,4400,4400,18200,4400,4400
132,4600,4400,18000,4400,4400
133,5100,4400,19100,4400,4400
134,4400,4400,19400,4400,4400
135,5700,4400,20100,4400,4400
136,4400,4400,17600,4400,4300
137,4400,4400,19400,4400,4300
138,4400,4400,19300,4400,4400
139,4400,4400,17700,4400,4400
140,4400,4400,17700,4400,4300
141,4500,4400,17700,5200,4400
142,4500,4400,17600,4400,4400
143,5800,4300,17600,4400,4400
144,4300,4400,17700,4400,4400
145,4300,4400,17700,4400,4400
146,5800,5100,17700,4400,4400
147,4500,4300,17700,4300,4400
148,4500,4300,17700,4300,4400
149,4500,4400,17600,4300,4400
150,4500,4400,19300,4300,4400
151,4500,4400,17700,4400,4400
152,5800,4400,17600,4400,4400
153,4400,4400,17600,4400,4400
154,5800,4400,17700,4400,4400
155,4500,4400,17700,4400,4300
156,4500,4400,17700,4400,4400
157,4500,4400,17700,4400,4400
158,4500,4400,17600,4400,4400
159,4500,4300,17600,4400,4400
160,4500,4300,17600,4400,4400
161,4500,4300,17700,4400,4400
