Iteration,Placebo,IfCounter,ModuloCounter,BooleanMulCounter,BooleanWrapCounter
1,654.6,693.8,671.9,646.4,670.9
2,638.5,695.3,672.9,654.7,664.6
3,649.7,694.3,664,650.3,664
4,641,689,672.7,646.7,664.7
5,640.1,695.6,673,653.1,667.8
6,640.2,690.7,673.7,646.6,664.8
7,640,695.8,674.6,656.9,665
8,639.1,696.3,669.2,645,669.7
9,641.3,715.6,674,644.7,667.6
10,638,705.1,694.9,656.5,667.4
11,639,696.1,677.9,647.8,665.9
12,638.9,695,666.8,643.4,674.1
13,637.5,698.4,667.4,645.2,668
14,637.2,695.4,676.3,643.1,666.4
15,640.5,692.6,666.8,645.3,672.9
16,641.8,690.5,669.9,645,666.9
17,640,693.5,675.7,650.1,670.4
18,633.2,696.9,673.1,645.3,669.3
19,627.8,692.6,668.2,643.9,664.5
20,625.5,690.3,672,651.7,672.8
21,627,692.7,674.1,642.8,692.8
22,627.2,693.1,678.6,643.9,664.5
23,625.4,694.4,676.8,645.2,664.4
24,625.1,699.5,669.8,645,662.4
25,625.9,695.2,664.9,643.1,662.6
26,624.9,697.8,674.7,667.8,668.6
27,644.5,688.7,672.5,648,668.3
28,639.4,700.9,681.4,643,665.3
29,626.2,697.9,665.6,649.5,666.7
30,627.7,695,672.1,655,666.2
31,627,689.5,669.1,649.6,666.3
32,630.8,698.3,673.9,647.4,666.4
33,626,690.2,683.1,656.3,664.7
34,626.2,698,667.8,645.7,665.8
35,624.3,689.3,670.7,649.9,662.7
36,624.1,693.8,668.6,651.6,663
37,626.2,705.4,679.1,645.6,667.7
38,625.1,697.9,676.9,645.8,670.2
39,630.3,688.8,659.9,653,665.5
40,628.3,698.5,671.9,647,664.6
41,629.7,687.8,666.5,649.4,662.7
42,623.9,691.6,669.2,647.8,662.7
43,624.8,688.5,676.4,648.6,663.8
44,661,700,676.3,650.4,688.4
45,654.6,696.9,670.8,647.8,661.3
46,625.8,691.3,671.5,650.9,664.5
47,629.8,693.2,678.2,651.2,660.5
48,634.8,689.4,675,644.6,663.4
49,626.2,695.7,664.7,645.2,658.5
50,634.6,700.8,672.8,686.2,664.6
51,699.9,700.6,686,646.2,663.2
52,583.5,695.2,676.1,646.5,658.4
53,641.3,697.3,671.6,644.8,661.9
54,641,702.7,679.3,654,661.3
55,642.3,688.1,674.7,644.8,662.2
56,647.6,692.6,674.3,644.4,661
57,644.4,687.8,673.6,646.2,660
58,642.7,690.5,669.1,644.4,662.1
59,638.2,687.3,669.3,646.7,662.2
60,639.8,691.3,668.9,645.8,661.7
61,640,694.3,674.2,649.3,662.6
62,646.2,690,669.2,650,662.1
63,641.8,695.2,669.9,649.2,665.9
64,643.3,693.1,670.7,651.6,660.2
65,643.5,700.7,667,646.9,658.7
66,635.3,699.8,675.5,653.2,665.1
67,634.1,694.7,675.5,647.2,659.7
68,627.8,698.8,674.9,649.8,664.9
69,637.1,691,668,645.3,661.8
70,626.1,695.4,676.1,652.2,664
71,627,687.6,690,649.9,661.2
72,641.1,696.9,670.2,651.2,666.1
73,627.5,695.1,666.2,651.7,663.7
74,638.2,692.4,670.2,651.1,662.5
75,635.4,704.8,667.1,646.1,661.6
76,630.3,699.4,663.3,651.5,660.8
77,634.6,641,674.1,653.1,661.5
78,636.8,695.2,681,643.8,663
79,635.2,689.7,668.1,649.4,661.3
80,633.6,688.3,689,650.6,658.5
81,627.3,690.5,664.8,652.4,657.5
82,633.4,695.3,678.6,647.8,662.3
83,632.5,695.6,674.4,656.2,663.7
84,621,690.8,672.3,648.6,661.6
85,632.7,693.8,673.1,651.3,661.6
86,639.9,706.3,671.8,649.9,662.9
87,635.1,694.4,669.4,647.3,662.1
88,630.3,694.5,681.6,647,662.8
89,627.3,694.5,673.5,647.3,664.7
90,631.8,694.1,671.3,645.4,661.7
91,632.5,701.4,669.9,651.6,660.3
92,626.3,693.2,669,646.3,664
93,637.6,693,668.2,646.3,662.1
94,625.3,702.6,675.6,651.7,663.8
95,628.9,699,679.4,648.9,662.1
96,629.2,696,678.1,649.6,659.9
97,631.9,693.6,668.1,664.8,666.7
98,629.7,700.9,672.8,654.4,660.4
99,651.1,699.2,667.6,646.6,662.1
100,634.6,707.1,668.1,651.1,661.8
101,631,699.1,686.3,648.4,663.3
102,633,695.1,669.2,655.8,661.7
103,630.2,697.3,664.7,648.3,659.5
104,631.4,691.8,670.3,647.2,661.1
105,630.8,689.3,669.4,650.9,664.5
106,642.5,694,668.8,648.4,663.6
107,629.3,686.1,670.4,652.9,662
108,632.9,693.6,680.6,648.1,661.5
109,633.5,691.5,676.4,644.9,659.4
110,630.9,682.2,797.8,653.4,660.9
111,636.7,692.6,777.5,645.8,659.6
112,629.9,689.2,673.9,646.9,706.4
113,636.9,695.5,680.4,649.8,671.9
114,638.5,714.8,669.8,651.3,663.7
115,627.7,695.9,680.5,645.9,669.9
116,625.2,719.7,672.3,646.3,663.8
117,627.2,709.4,668.7,652.4,663.2
118,627,710.8,666.7,648.2,660
119,633.3,697.7,674.7,656.2,663.6
120,641.4,695.9,670.5,668.6,667.6
121,640.6,687.1,685.5,661.1,664.1
122,632.8,691.3,677.8,647.3,669
123,649.3,689.3,672.8,651.9,666
124,643.4,687.8,675.4,647.7,665.7
125,642.9,686.8,677.1,646.5,670.7
126,647.5,690.4,669.7,646.8,667.8
127,639.7,690.4,673.9,649.8,672.6
128,646.3,682.8,677.5,649,667.4
129,649.7,684.7,667.9,643.8,666.8
130,648.1,687.4,675.2,643,668.5
131,646.3,685.4,670.2,644.7,669.8
132,642.8,704.8,670.1,654.3,668.5
133,646.6,683.3,669.9,647.3,673.8
134,641.8,687,677.3,647.2,664.5
135,643.2,684.9,672.7,649.6,673
136,645,686,677.7,652.5,666.3
137,641.9,687.1,675.8,647.4,663.4
138,644.5,692.1,681.8,653.9,659.8
139,648.2,683.9,672.4,649.8,667.6
140,648.7,688.3,666.2,646.8,668.3
141,647.5,690.8,674.8,646.1,665.4
142,648.9,693.2,674.7,644.8,668.4
143,646.9,711.1,673.8,644.7,666.1
144,631.4,691.1,670.8,667.6,663.2
145,638.8,683.1,682.9,648.2,669.1
146,633.7,681.5,681.3,645.2,661.7
147,641.7,681.7,670.9,646.7,662.8
148,630.8,687.6,666.9,645.9,667.6
149,629.2,680.3,676.8,646.9,670.2
150,631.5,682.8,671.7,650.2,662.8
151,627.1,690,677.7,646.2,667.7
152,632.1,683.9,669.6,647.7,665.5
153,637.9,686.6,675.2,654.3,661.7
154,635.5,688.6,669.4,646.1,664.5
155,637.3,687.7,666.3,645.2,663.9
156,638.9,686.8,680.1,644.8,678.6
157,632,690.4,667.9,645.9,666.9
158,644.2,688.2,673.8,649,662.8
159,639.7,682.9,665.1,652.2,673
160,636.2,684.5,672.6,646.8,666.6
161,634.3,679.9,673.7,644.1,665.6
162,628,686.1,671.6,652.9,672.5
163,630.6,685.2,670.9,654,666.7
164,631.5,684.5,668.1,651.5,663.8
165,649.2,707.7,677.7,646,664.8
166,628,684.1,671.8,648.7,664.3
167,632.9,684.1,677.9,650.7,667.5
168,630.1,689.2,683.4,642.3,659.7
169,633.7,689.9,677.5,655.9,665.1
170,630.5,688.3,674.2,646.5,663.7
171,660,686,667.6,646,667.9
172,632.3,688.2,670.9,654.3,674.3
173,637,691.6,671.2,649.4,669.3
174,629.9,690.8,670.5,644.7,666.1
175,631.7,681.9,677.2,646.3,674.4
176,645.4,694.4,677.9,647,666.9
177,630.1,684.2,684.6,646.9,665.7
178,633.8,689.9,671,644.8,662.8
179,632.3,689.3,679.9,651,686.2
180,631,688.2,670.1,647.3,666
181,623.5,690.7,674.1,650,663.2
182,630.8,689.2,678.9,651.1,665.1
183,632.9,689.3,664.6,646.6,666.4
184,631.9,690.1,671,650.2,678
185,630.2,683.9,669.6,646.9,670.3
186,633,686.9,668.9,651.6,668.4
187,642.6,697.7,676,645.6,666.4
188,638.2,701.2,673.5,654.6,670.3
189,640.6,698.7,674.4,649.2,666
190,632.4,701.9,675.9,649,665
